Date,holidays,Custis Rosslyn Cyclists,MVT Airport South Cyclists,WOD Bon Air East Cyclists,WOD East Falls Church Cyclists,Key Bridge East Cyclists,Key Bridge West Cyclists,Joyce St NB Cyclists,Joyce St SB Cyclists,TR Island Cyclists
Sun 1 Apr 2012 00:00,0,4,1,0,0,,,,,
Sun 1 Apr 2012 01:00,0,0,1,0,1,,,,,
Sun 1 Apr 2012 02:00,0,0,0,0,1,,,,,
Sun 1 Apr 2012 03:00,0,0,0,0,0,,,,,
Sun 1 Apr 2012 04:00,0,6,1,0,0,,,,,
Sun 1 Apr 2012 05:00,0,2,0,0,0,,,,,
Sun 1 Apr 2012 06:00,0,14,8,2,1,,,,,
Sun 1 Apr 2012 07:00,0,22,16,8,8,,,,,
Sun 1 Apr 2012 08:00,0,44,42,34,18,,,,,
Sun 1 Apr 2012 09:00,0,92,85,39,42,,,,,
Sun 1 Apr 2012 10:00,0,120,154,94,82,,,,,
Sun 1 Apr 2012 11:00,0,170,235,100,91,,,,,
Sun 1 Apr 2012 12:00,0,136,228,127,85,,,,,
Sun 1 Apr 2012 13:00,0,162,285,130,123,,,,,
Sun 1 Apr 2012 14:00,0,242,322,163,141,,,,,
Sun 1 Apr 2012 15:00,0,236,377,168,144,,,,,
Sun 1 Apr 2012 16:00,0,260,356,153,133,,,,,
Sun 1 Apr 2012 17:00,0,194,278,161,140,,,,,
Sun 1 Apr 2012 18:00,0,94,147,83,82,,,,,
Sun 1 Apr 2012 19:00,0,66,48,40,35,,,,,
Sun 1 Apr 2012 20:00,0,32,8,2,8,,,,,
Sun 1 Apr 2012 21:00,0,6,2,0,1,,,,,
Sun 1 Apr 2012 22:00,0,2,3,1,1,,,,,
Sun 1 Apr 2012 23:00,0,4,2,0,1,,,,,
Mon 2 Apr 2012 00:00,0,8,0,0,0,,,,,
Mon 2 Apr 2012 01:00,0,0,0,0,0,,,,,
Mon 2 Apr 2012 02:00,0,0,0,0,0,,,,,
Mon 2 Apr 2012 03:00,0,2,0,0,0,,,,,
Mon 2 Apr 2012 04:00,0,0,2,0,0,,,,,
Mon 2 Apr 2012 05:00,0,14,20,1,9,,,,,
Mon 2 Apr 2012 06:00,0,76,57,21,31,,,,,
Mon 2 Apr 2012 07:00,0,290,157,47,80,,,,,
Mon 2 Apr 2012 08:00,0,360,164,25,56,,,,,
Mon 2 Apr 2012 09:00,0,192,75,17,17,,,,,
Mon 2 Apr 2012 10:00,0,66,43,22,16,,,,,
Mon 2 Apr 2012 11:00,0,48,61,37,27,,,,,
Mon 2 Apr 2012 12:00,0,72,51,28,23,,,,,
Mon 2 Apr 2012 13:00,0,36,71,19,22,,,,,
Mon 2 Apr 2012 14:00,0,42,54,34,27,,,,,
Mon 2 Apr 2012 15:00,0,84,106,46,39,,,,,
Mon 2 Apr 2012 16:00,0,164,154,58,63,,,,,
Mon 2 Apr 2012 17:00,0,346,249,78,100,,,,,
Mon 2 Apr 2012 18:00,0,432,253,101,101,,,,,
Mon 2 Apr 2012 19:00,0,204,119,71,53,,,,,
Mon 2 Apr 2012 20:00,0,46,28,12,11,,,,,
Mon 2 Apr 2012 21:00,0,28,8,2,4,,,,,
Mon 2 Apr 2012 22:00,0,14,4,2,2,,,,,
Mon 2 Apr 2012 23:00,0,6,3,3,1,,,,,
Tue 3 Apr 2012 00:00,0,0,0,1,0,,,,,
Tue 3 Apr 2012 01:00,0,2,0,0,0,,,,,
Tue 3 Apr 2012 02:00,0,0,0,0,0,,,,,
Tue 3 Apr 2012 03:00,0,0,0,0,0,,,,,
Tue 3 Apr 2012 04:00,0,4,3,0,1,,,,,
Tue 3 Apr 2012 05:00,0,20,28,4,7,,,,,
Tue 3 Apr 2012 06:00,0,106,73,23,42,,,,,
Tue 3 Apr 2012 07:00,0,254,162,41,65,,,,,
Tue 3 Apr 2012 08:00,0,404,164,42,65,,,,,
Tue 3 Apr 2012 09:00,0,256,100,19,32,,,,,
Tue 3 Apr 2012 10:00,0,86,42,37,17,,,,,
Tue 3 Apr 2012 11:00,0,66,90,23,30,,,,,
Tue 3 Apr 2012 12:00,0,70,102,29,18,,,,,
Tue 3 Apr 2012 13:00,0,74,99,70,30,,,,,
Tue 3 Apr 2012 14:00,0,90,147,66,23,,,,,
Tue 3 Apr 2012 15:00,0,130,170,75,44,,,,,
Tue 3 Apr 2012 16:00,0,182,213,111,76,,,,,
Tue 3 Apr 2012 17:00,0,448,342,134,167,,,,,
Tue 3 Apr 2012 18:00,0,530,356,209,192,,,,,
Tue 3 Apr 2012 19:00,0,328,201,113,75,,,,,
Tue 3 Apr 2012 20:00,0,76,43,18,23,,,,,
Tue 3 Apr 2012 21:00,0,22,10,4,6,,,,,
Tue 3 Apr 2012 22:00,0,26,5,2,0,,,,,
Tue 3 Apr 2012 23:00,0,6,1,0,2,,,,,
Wed 4 Apr 2012 00:00,0,4,0,0,1,,,,,
Wed 4 Apr 2012 01:00,0,4,0,0,0,,,,,
Wed 4 Apr 2012 02:00,0,0,1,0,0,,,,,
Wed 4 Apr 2012 03:00,0,0,1,0,0,,,,,
Wed 4 Apr 2012 04:00,0,2,4,0,0,,,,,
Wed 4 Apr 2012 05:00,0,30,25,6,10,,,,,
Wed 4 Apr 2012 06:00,0,110,89,24,47,,,,,
Wed 4 Apr 2012 07:00,0,310,202,44,67,,,,,
Wed 4 Apr 2012 08:00,0,368,186,45,60,,,,,
Wed 4 Apr 2012 09:00,0,218,75,15,21,,,,,
Wed 4 Apr 2012 10:00,0,64,48,15,19,,,,,
Wed 4 Apr 2012 11:00,0,86,57,30,21,,,,,
Wed 4 Apr 2012 12:00,0,76,81,25,26,,,,,
Wed 4 Apr 2012 13:00,0,68,76,41,42,,,,,
Wed 4 Apr 2012 14:00,0,86,84,36,32,,,,,
Wed 4 Apr 2012 15:00,0,108,97,61,50,,,,,
Wed 4 Apr 2012 16:00,0,150,144,70,59,,,,,
Wed 4 Apr 2012 17:00,0,466,286,135,119,,,,,
Wed 4 Apr 2012 18:00,0,466,347,146,131,,,,,
Wed 4 Apr 2012 19:00,0,210,193,101,74,,,,,
Wed 4 Apr 2012 20:00,0,98,47,28,17,,,,,
Wed 4 Apr 2012 21:00,0,18,22,4,5,,,,,
Wed 4 Apr 2012 22:00,0,22,14,3,5,,,,,
Wed 4 Apr 2012 23:00,0,8,5,4,5,,,,,
Thu 5 Apr 2012 00:00,0,0,2,0,1,,,,,
Thu 5 Apr 2012 01:00,0,0,0,0,0,,,,,
Thu 5 Apr 2012 02:00,0,0,0,0,0,,,,,
Thu 5 Apr 2012 03:00,0,2,1,0,0,,,,,
Thu 5 Apr 2012 04:00,0,4,5,0,1,,,,,
Thu 5 Apr 2012 05:00,0,18,21,3,8,,,,,
Thu 5 Apr 2012 06:00,0,68,74,28,42,,,,,
Thu 5 Apr 2012 07:00,0,258,190,36,51,,,,,
Thu 5 Apr 2012 08:00,0,372,197,37,73,,,,,
Thu 5 Apr 2012 09:00,0,190,94,31,36,,,,,
Thu 5 Apr 2012 10:00,0,102,84,19,17,,,,,
Thu 5 Apr 2012 11:00,0,56,67,31,30,,,,,
Thu 5 Apr 2012 12:00,0,56,78,34,32,,,,,
Thu 5 Apr 2012 13:00,0,92,71,31,30,,,,,
Thu 5 Apr 2012 14:00,0,66,96,39,43,,,,,
Thu 5 Apr 2012 15:00,0,88,108,42,34,,,,,
Thu 5 Apr 2012 16:00,0,148,183,59,50,,,,,
Thu 5 Apr 2012 17:00,0,380,274,112,113,,,,,
Thu 5 Apr 2012 18:00,0,420,285,130,110,,,,,
Thu 5 Apr 2012 19:00,0,250,145,70,46,,,,,
Thu 5 Apr 2012 20:00,0,52,25,12,14,,,,,
Thu 5 Apr 2012 21:00,0,24,3,1,1,,,,,
Thu 5 Apr 2012 22:00,0,22,10,1,2,,,,,
Thu 5 Apr 2012 23:00,0,8,5,0,0,,,,,
Fri 6 Apr 2012 00:00,0,2,0,0,1,,,,,
Fri 6 Apr 2012 01:00,0,0,1,0,0,,,,,
Fri 6 Apr 2012 02:00,0,2,0,1,0,,,,,
Fri 6 Apr 2012 03:00,0,4,1,0,0,,,,,
Fri 6 Apr 2012 04:00,0,0,1,2,1,,,,,
Fri 6 Apr 2012 05:00,0,12,14,3,2,,,,,
Fri 6 Apr 2012 06:00,0,64,56,15,32,,,,,
Fri 6 Apr 2012 07:00,0,146,112,39,34,,,,,
Fri 6 Apr 2012 08:00,0,280,124,32,59,,,,,
Fri 6 Apr 2012 09:00,0,148,65,20,21,,,,,
Fri 6 Apr 2012 10:00,0,86,68,48,24,,,,,
Fri 6 Apr 2012 11:00,0,100,110,39,21,,,,,
Fri 6 Apr 2012 12:00,0,108,128,53,39,,,,,
Fri 6 Apr 2012 13:00,0,112,154,63,55,,,,,
Fri 6 Apr 2012 14:00,0,154,134,49,55,,,,,
Fri 6 Apr 2012 15:00,0,150,163,59,58,,,,,
Fri 6 Apr 2012 16:00,0,202,182,97,77,,,,,
Fri 6 Apr 2012 17:00,0,306,210,76,97,,,,,
Fri 6 Apr 2012 18:00,0,270,168,82,65,,,,,
Fri 6 Apr 2012 19:00,0,126,69,42,36,,,,,
Fri 6 Apr 2012 20:00,0,24,18,5,5,,,,,
Fri 6 Apr 2012 21:00,0,4,8,2,6,,,,,
Fri 6 Apr 2012 22:00,0,6,5,0,1,,,,,
Fri 6 Apr 2012 23:00,0,12,0,1,1,,,,,
Sat 7 Apr 2012 00:00,0,6,4,0,0,,,,,
Sat 7 Apr 2012 01:00,0,2,3,0,0,,,,,
Sat 7 Apr 2012 02:00,0,0,1,0,0,,,,,
Sat 7 Apr 2012 03:00,0,2,0,0,0,,,,,
Sat 7 Apr 2012 04:00,0,0,1,0,0,,,,,
Sat 7 Apr 2012 05:00,0,0,1,0,0,,,,,
Sat 7 Apr 2012 06:00,0,12,7,2,4,,,,,
Sat 7 Apr 2012 07:00,0,12,33,11,14,,,,,
Sat 7 Apr 2012 08:00,0,62,58,26,41,,,,,
Sat 7 Apr 2012 09:00,0,102,100,38,54,,,,,
