week,long-term counter,estimate,actual,error
14,Maisonneuve_22014,2890.95600354,3721.64150943,-830.685505897
14,CSC2014,5023.33888414,3721.64150943,1301.69737471
14,PierDup2014,37918.057583,3721.64150943,34196.4160735
14,Totem_Laurier2014,4263.50773699,3721.64150943,541.866227551
14,Parc2014,3450.32580919,3721.64150943,-271.315700247
14,Maisonneuve_12014,3601.97500339,3721.64150943,-119.666506047
15,Maisonneuve_22014,3463.02495366,3721.64150943,-258.616555779
15,CSC2014,5975.03766447,3721.64150943,2253.39615503
15,PierDup2014,8819.12319787,3721.64150943,5097.48168844
15,Totem_Laurier2014,4598.06182842,3721.64150943,876.420318989
15,Parc2014,3345.68916087,3721.64150943,-375.952348565
15,Maisonneuve_12014,3887.02844839,3721.64150943,165.386938956
16,Maisonneuve_22014,3743.79807317,3721.64150943,22.1565637342
16,CSC2014,6813.9998255,3721.64150943,3092.35831607
16,PierDup2014,8367.7712059,3721.64150943,4646.12969646
16,Totem_Laurier2014,4551.32404622,3721.64150943,829.682536783
16,Parc2014,3706.08261204,3721.64150943,-15.5588973965
16,Maisonneuve_12014,3859.49401084,3721.64150943,137.852501409
17,Maisonneuve_22014,3600.94771806,3721.64150943,-120.693791372
17,CSC2014,3192.38309563,3721.64150943,-529.258413805
17,PierDup2014,6024.89732151,3721.64150943,2303.25581208
17,Totem_Laurier2014,4481.6510602,3721.64150943,760.009550767
17,Parc2014,3658.42438432,3721.64150943,-63.2171251101
17,Maisonneuve_12014,3688.94183837,3721.64150943,-32.6996710678
18,Maisonneuve_22014,3511.46631694,3721.64150943,-210.175192496
18,CSC2014,3208.69193818,3721.64150943,-512.949571252
18,PierDup2014,6576.68376779,3721.64150943,2855.04225835
18,Totem_Laurier2014,4557.87649686,3721.64150943,836.23498743
18,Parc2014,3727.32842407,3721.64150943,5.68691463808
18,Maisonneuve_12014,3680.25005418,3721.64150943,-41.3914552579
19,Maisonneuve_22014,3906.43102762,3721.64150943,184.789518191
19,CSC2014,3505.80023035,3721.64150943,-215.841279085
19,PierDup2014,4154.71710699,3721.64150943,433.075597557
19,Totem_Laurier2014,5079.1333299,3721.64150943,1357.49182046
19,Parc2014,4018.90122943,3721.64150943,297.259719999
19,Maisonneuve_12014,3938.67798508,3721.64150943,217.036475646
20,Maisonneuve_22014,3800.2622477,3721.64150943,78.620738264
20,CSC2014,3741.22020671,3721.64150943,19.5786972767
20,PierDup2014,4502.82089506,3721.64150943,781.179385625
20,Totem_Laurier2014,4926.31965377,3721.64150943,1204.67814434
20,Parc2014,4031.0730632,3721.64150943,309.43155377
20,Maisonneuve_12014,3757.4618206,3721.64150943,35.8203111704
21,Maisonneuve_22014,4092.58213629,3721.64150943,370.940626858
21,CSC2014,3904.95903277,3721.64150943,183.317523338
21,PierDup2014,3551.92452795,3721.64150943,-169.71698148
21,Totem_Laurier2014,4361.2946871,3721.64150943,639.65317767
21,Parc2014,4406.6830117,3721.64150943,685.041502269
21,Maisonneuve_12014,3923.51497723,3721.64150943,201.873467799
22,Maisonneuve_22014,4289.73343218,3721.64150943,568.091922747
22,CSC2014,4070.62862956,3721.64150943,348.987120121
22,PierDup2014,5690.30559267,3721.64150943,1968.66408324
22,Totem_Laurier2014,3712.7681465,3721.64150943,-8.87336293325
22,Parc2014,4109.9906893,3721.64150943,388.349179869
22,Maisonneuve_12014,3952.25277235,3721.64150943,230.611262915
23,Maisonneuve_22014,3864.94575963,3721.64150943,143.3042502
23,CSC2014,3796.39014159,3721.64150943,74.748632155
23,PierDup2014,7969.68480031,3721.64150943,4248.04329088
23,Totem_Laurier2014,3721.22840923,3721.64150943,-0.413100199426
23,Parc2014,4017.41545136,3721.64150943,295.773941923
23,Maisonneuve_12014,3964.2049207,3721.64150943,242.563411266
24,Maisonneuve_22014,3861.03843192,3721.64150943,139.39692249
24,CSC2014,3849.75390805,3721.64150943,128.112398613
24,PierDup2014,7182.5091234,3721.64150943,3460.86761397
24,Totem_Laurier2014,3509.61957106,3721.64150943,-212.021938375
24,Parc2014,4023.8254656,3721.64150943,302.183956165
24,Maisonneuve_12014,3890.55794461,3721.64150943,168.916435173
25,Maisonneuve_22014,4032.48773602,3721.64150943,310.84622659
25,CSC2014,4261.78802975,3721.64150943,540.146520313
25,PierDup2014,3547.38993886,3721.64150943,-174.251570572
25,Totem_Laurier2014,4017.8173851,3721.64150943,296.175875669
25,Parc2014,4279.8561134,3721.64150943,558.214603968
25,Maisonneuve_12014,3892.28035789,3721.64150943,170.638848456
26,Maisonneuve_22014,3869.97706631,3721.64150943,148.335556875
26,CSC2014,4336.3670525,3721.64150943,614.725543063
26,PierDup2014,3434.61543621,3721.64150943,-287.026073228
26,Totem_Laurier2014,3587.93653031,3721.64150943,-133.704979122
26,Parc2014,4353.50640427,3721.64150943,631.864894835
26,Maisonneuve_12014,3758.017231,3721.64150943,36.3757215663
27,Maisonneuve_22014,4020.53358391,3721.64150943,298.892074476
27,CSC2014,4767.521075,3721.64150943,1045.87956557
27,PierDup2014,3456.98431726,3721.64150943,-264.657192175
27,Totem_Laurier2014,3814.44629191,3721.64150943,92.8047824792
27,Parc2014,4792.70939053,3721.64150943,1071.0678811
27,Maisonneuve_12014,3711.1302165,3721.64150943,-10.5112929321
28,Maisonneuve_22014,3822.80333439,3721.64150943,101.161824959
28,CSC2014,4448.53556406,3721.64150943,726.894054626
