week,best long-term counter,best estimate,actual,best error
14,Maisonneuve_12014,3601.97500339,3721.64150943,-119.666506047
15,Maisonneuve_12014,3887.02844839,3721.64150943,165.386938956
16,Parc2014,3706.08261204,3721.64150943,-15.5588973965
17,Maisonneuve_12014,3688.94183837,3721.64150943,-32.6996710678
18,Parc2014,3727.32842407,3721.64150943,5.68691463808
19,Maisonneuve_22014,3906.43102762,3721.64150943,184.789518191
20,CSC2014,3741.22020671,3721.64150943,19.5786972767
21,PierDup2014,3551.92452795,3721.64150943,-169.71698148
22,Totem_Laurier2014,3712.7681465,3721.64150943,-8.87336293325
23,Totem_Laurier2014,3721.22840923,3721.64150943,-0.413100199426
24,CSC2014,3849.75390805,3721.64150943,128.112398613
25,Maisonneuve_12014,3892.28035789,3721.64150943,170.638848456
26,Maisonneuve_12014,3758.017231,3721.64150943,36.3757215663
27,Maisonneuve_12014,3711.1302165,3721.64150943,-10.5112929321
28,Totem_Laurier2014,3649.49391296,3721.64150943,-72.1475964768
29,Totem_Laurier2014,3772.90725176,3721.64150943,51.2657423232
30,Maisonneuve_12014,3747.49165704,3721.64150943,25.850147606
31,Totem_Laurier2014,3652.47186583,3721.64150943,-69.1696436061
32,Maisonneuve_22014,3732.72803484,3721.64150943,11.0865254052
33,Parc2014,3809.98972513,3721.64150943,88.3482156924
34,Totem_Laurier2014,3667.22395988,3721.64150943,-54.4175495507
35,Maisonneuve_22014,3686.93328876,3721.64150943,-34.7082206725
36,PierDup2014,3740.46224603,3721.64150943,18.8207365939
37,Maisonneuve_12014,3516.47173557,3721.64150943,-205.169773867
38,Maisonneuve_22014,3395.81956958,3721.64150943,-325.821939852
39,Maisonneuve_12014,3660.89917541,3721.64150943,-60.7423340288
40,Maisonneuve_12014,3367.94748011,3721.64150943,-353.694029325
41,Maisonneuve_12014,3424.72310818,3721.64150943,-296.918401258
42,Maisonneuve_12014,3515.85982477,3721.64150943,-205.781684664
43,Maisonneuve_12014,3375.40981476,3721.64150943,-346.231694678
44,CSC2014,2999.32236783,3721.64150943,-722.319141608
