week,long-term counter,estimate,actual,error
14,Maisonneuve_22014,991.230903056,1649.05660377,-657.825700718
14,Berri12014,1260.7487069,1649.05660377,-388.307896877
14,PierDup2014,13138.9876713,1649.05660377,11489.9310675
14,Totem_Laurier2014,1454.14906908,1649.05660377,-194.907534695
14,Parc2014,1187.27905288,1649.05660377,-461.777550892
14,Maisonneuve_12014,1232.87655332,1649.05660377,-416.180050453
15,Maisonneuve_22014,954.663903829,1649.05660377,-694.392699945
15,Berri12014,1035.98712197,1649.05660377,-613.069481801
15,PierDup2014,2551.81140611,1649.05660377,902.754802335
15,Totem_Laurier2014,1292.58580718,1649.05660377,-356.470796591
15,Parc2014,921.862342937,1649.05660377,-727.194260837
15,Maisonneuve_12014,1076.35668775,1649.05660377,-572.699916025
16,Maisonneuve_22014,933.554490167,1649.05660377,-715.502113607
16,Berri12014,930.893142266,1649.05660377,-718.163461507
16,PierDup2014,2217.4202464,1649.05660377,568.363642625
16,Totem_Laurier2014,1147.67792863,1649.05660377,-501.378675147
16,Parc2014,915.272634645,1649.05660377,-733.783969129
16,Maisonneuve_12014,960.214990564,1649.05660377,-688.84161321
17,Maisonneuve_22014,1863.16805478,1649.05660377,214.111451002
17,Berri12014,1928.76134231,1649.05660377,279.704738541
17,PierDup2014,3167.73467378,1649.05660377,1518.67807001
17,Totem_Laurier2014,2312.53064608,1649.05660377,663.474042308
17,Parc2014,1890.25509776,1649.05660377,241.19849399
17,Maisonneuve_12014,1907.81415393,1649.05660377,258.757550157
18,Maisonneuve_22014,1815.00520702,1649.05660377,165.94860325
18,Berri12014,1920.31060787,1649.05660377,271.254004095
18,PierDup2014,3356.07924306,1649.05660377,1707.02263929
18,Totem_Laurier2014,2356.58721479,1649.05660377,707.530611013
18,Parc2014,1926.263039,1649.05660377,277.206435227
18,Maisonneuve_12014,1898.57027501,1649.05660377,249.513671238
19,Maisonneuve_22014,1849.69762942,1649.05660377,200.64102565
19,Berri12014,1769.81672847,1649.05660377,120.760124693
19,PierDup2014,2017.91012064,1649.05660377,368.853516865
19,Totem_Laurier2014,2423.0648398,1649.05660377,774.008236028
19,Parc2014,1894.2387981,1649.05660377,245.182194323
19,Maisonneuve_12014,1861.19678343,1649.05660377,212.14017966
20,Maisonneuve_22014,1680.85052829,1649.05660377,31.7939245126
20,Berri12014,1660.0561532,1649.05660377,10.9995494297
20,PierDup2014,2042.03316656,1649.05660377,392.976562786
20,Totem_Laurier2014,2204.61022491,1649.05660377,555.553621137
20,Parc2014,1776.96154686,1649.05660377,127.904943091
20,Maisonneuve_12014,1660.07394355,1649.05660377,11.0173397786
21,Maisonneuve_22014,1731.66546299,1649.05660377,82.6088592126
21,Berri12014,1584.92756961,1649.05660377,-64.1290341632
21,PierDup2014,1553.15073181,1649.05660377,-95.9058719659
21,Totem_Laurier2014,1879.33719661,1649.05660377,230.280592839
21,Parc2014,1859.94390716,1649.05660377,210.887303387
21,Maisonneuve_12014,1659.88433654,1649.05660377,10.8277327695
22,Maisonneuve_22014,1712.17267274,1649.05660377,63.1160689681
22,Berri12014,1542.42901706,1649.05660377,-106.627586712
22,PierDup2014,2412.79642741,1649.05660377,763.739823632
22,Totem_Laurier2014,1515.10708031,1649.05660377,-133.949523461
22,Parc2014,1661.58087462,1649.05660377,12.5242708494
22,Maisonneuve_12014,1575.70398513,1649.05660377,-73.3526186409
23,Maisonneuve_22014,1681.35324107,1649.05660377,32.2966372966
23,Berri12014,1628.77688134,1649.05660377,-20.2797224343
23,PierDup2014,3553.16850835,1649.05660377,1904.11190457
23,Totem_Laurier2014,1634.36084227,1649.05660377,-14.6957615025
23,Parc2014,1742.6457544,1649.05660377,93.589150628
23,Maisonneuve_12014,1721.554583,1649.05660377,72.4979792273
24,Maisonneuve_22014,1662.11610903,1649.05660377,13.0595052598
24,Berri12014,1622.51325681,1649.05660377,-26.5433469669
24,PierDup2014,3298.36381602,1649.05660377,1649.30721225
24,Totem_Laurier2014,1525.80920126,1649.05660377,-123.247402517
24,Parc2014,1716.32762532,1649.05660377,67.2710215453
24,Maisonneuve_12014,1685.87852222,1649.05660377,36.8219184513
25,Maisonneuve_22014,1574.65570301,1649.05660377,-74.4009007672
25,Berri12014,1459.79426529,1649.05660377,-189.262338487
25,PierDup2014,1427.75231102,1649.05660377,-221.304292756
25,Totem_Laurier2014,1580.31843735,1649.05660377,-68.738166425
25,Parc2014,1661.68856907,1649.05660377,12.6319652986
25,Maisonneuve_12014,1514.58980072,1649.05660377,-134.46680305
26,Maisonneuve_22014,1488.34152817,1649.05660377,-160.715075607
26,Berri12014,1481.31730378,1649.05660377,-167.739299992
26,PierDup2014,1406.38825294,1649.05660377,-242.668350835
26,Totem_Laurier2014,1368.26505129,1649.05660377,-280.791552481
26,Parc2014,1672.38336095,1649.05660377,23.3267571743
26,Maisonneuve_12014,1504.62665288,1649.05660377,-144.429950895
27,Maisonneuve_22014,1396.93762095,1649.05660377,-252.118982825
27,Berri12014,1308.11759512,1649.05660377,-340.939008651
27,PierDup2014,1250.87262319,1649.05660377,-398.18398058
27,Totem_Laurier2014,1331.26352919,1649.05660377,-317.793074583
27,Parc2014,1652.0855921,1649.05660377,3.02898832704
27,Maisonneuve_12014,1297.93398985,1649.05660377,-351.122613921
28,Maisonneuve_22014,1434.08252427,1649.05660377,-214.974079506
28,Berri12014,1415.687869,1649.05660377,-233.368734777
28,PierDup2014,1587.75016775,1649.05660377,-61.3064360194
28,Totem_Laurier2014,1384.13114424,1649.05660377,-264.925459533
28,Parc2014,1662.70370183,1649.05660377,13.6470980527
28,Maisonneuve_12014,1483.29656907,1649.05660377,-165.760034703
29,Maisonneuve_22014,1433.77357296,1649.05660377,-215.283030814
29,Berri12014,1394.90661517,1649.05660377,-254.149988604
29,PierDup2014,1277.96494426,1649.05660377,-371.091659518
29,Totem_Laurier2014,1416.43530866,1649.05660377,-232.621295116
29,Parc2014,1663.34064021,1649.05660377,14.2840364336
29,Maisonneuve_12014,1449.29606453,1649.05660377,-199.760539242
30,Maisonneuve_22014,1406.75211613,1649.05660377,-242.304487644
30,Berri12014,1473.41007919,1649.05660377,-175.646524583
30,PierDup2014,1247.97706994,1649.05660377,-401.079533837
30,Totem_Laurier2014,1414.30628882,1649.05660377,-234.750314958
30,Parc2014,1699.76670628,1649.05660377,50.7101025039
30,Maisonneuve_12014,1485.12836,1649.05660377,-163.928243777
31,Maisonneuve_22014,1526.76278245,1649.05660377,-122.293821325
31,Berri12014,1580.91945119,1649.05660377,-68.1371525844
31,PierDup2014,1433.33582384,1649.05660377,-215.720779934
31,Totem_Laurier2014,1545.75000988,1649.05660377,-103.306593896
31,Parc2014,1748.67360216,1649.05660377,99.6169983836
31,Maisonneuve_12014,1772.98729765,1649.05660377,123.930693878
32,Maisonneuve_22014,1464.94992491,1649.05660377,-184.106678859
32,Berri12014,1478.1632419,1649.05660377,-170.893361875
32,PierDup2014,1216.83686727,1649.05660377,-432.2197365
32,Totem_Laurier2014,1414.54149103,1649.05660377,-234.515112747
32,Parc2014,1671.33826758,1649.05660377,22.2816638101
32,Maisonneuve_12014,1578.90152477,1649.05660377,-70.1550790012
33,Maisonneuve_22014,1481.75071322,1649.05660377,-167.30589055
33,Berri12014,1545.90704354,1649.05660377,-103.149560236
