week,best long-term counter,best estimate,actual,best error
14,Totem_Laurier2014,1454.14906908,1649.05660377,-194.907534695
15,Totem_Laurier2014,1292.58580718,1649.05660377,-356.470796591
16,Totem_Laurier2014,1147.67792863,1649.05660377,-501.378675147
17,Maisonneuve_22014,1863.16805478,1649.05660377,214.111451002
18,Maisonneuve_22014,1815.00520702,1649.05660377,165.94860325
19,Berri12014,1769.81672847,1649.05660377,120.760124693
20,Berri12014,1660.0561532,1649.05660377,10.9995494297
21,Maisonneuve_12014,1659.88433654,1649.05660377,10.8277327695
22,Parc2014,1661.58087462,1649.05660377,12.5242708494
23,Totem_Laurier2014,1634.36084227,1649.05660377,-14.6957615025
24,Maisonneuve_22014,1662.11610903,1649.05660377,13.0595052598
25,Parc2014,1661.68856907,1649.05660377,12.6319652986
26,Parc2014,1672.38336095,1649.05660377,23.3267571743
27,Parc2014,1652.0855921,1649.05660377,3.02898832704
28,Parc2014,1662.70370183,1649.05660377,13.6470980527
29,Parc2014,1663.34064021,1649.05660377,14.2840364336
30,Parc2014,1699.76670628,1649.05660377,50.7101025039
31,Berri12014,1580.91945119,1649.05660377,-68.1371525844
32,Parc2014,1671.33826758,1649.05660377,22.2816638101
33,Parc2014,1550.14868776,1649.05660377,-98.9079160148
34,Parc2014,1626.7295031,1649.05660377,-22.3271006778
35,Berri12014,1619.53146505,1649.05660377,-29.5251387248
36,Totem_Laurier2014,1635.2469327,1649.05660377,-13.8096710734
37,Parc2014,1739.51677961,1649.05660377,90.4601758316
38,Parc2014,1653.29467346,1649.05660377,4.23806968903
39,Parc2014,1603.50253537,1649.05660377,-45.5540684076
40,Parc2014,1648.47501296,1649.05660377,-0.58159081131
41,Totem_Laurier2014,1669.60023285,1649.05660377,20.5436290809
42,Maisonneuve_22014,1672.31743394,1649.05660377,23.2608301689
43,Maisonneuve_12014,1654.5523882,1649.05660377,5.49578442236
44,Totem_Laurier2014,1675.66221143,1649.05660377,26.6056076581
