week,long-term counter,estimate,actual,error
14,Maisonneuve_22014,1931.81731876,2408.63679245,-476.819473694
14,Berri12014,2497.07563198,2408.63679245,88.4388395301
14,CSC2014,3397.89212798,2408.63679245,989.255335529
14,PierDup2014,25190.4413719,2408.63679245,22781.8045795
14,Totem_Laurier2014,2845.68206164,2408.63679245,437.045269191
14,Parc2014,2301.53486332,2408.63679245,-107.101929131
15,Maisonneuve_22014,2143.78060372,2408.63679245,-264.856188733
15,Berri12014,2323.70941426,2408.63679245,-84.9273781947
15,CSC2014,3712.50989308,2408.63679245,1303.87310063
15,PierDup2014,5606.98295565,2408.63679245,3198.3461632
15,Totem_Laurier2014,2866.31314132,2408.63679245,457.676348868
15,Parc2014,2068.54368212,2408.63679245,-340.09311033
16,Maisonneuve_22014,2347.54956155,2408.63679245,-61.0872309001
16,Berri12014,2345.04993506,2408.63679245,-63.586857394
16,CSC2014,4276.48567467,2408.63679245,1867.84888222
16,PierDup2014,5359.40717846,2408.63679245,2950.77038601
16,Totem_Laurier2014,2869.47489329,2408.63679245,460.838100838
16,Parc2014,2331.65701544,2408.63679245,-76.9797770151
17,Maisonneuve_22014,2360.28028961,2408.63679245,-48.3565028418
17,Berri12014,2448.56705392,2408.63679245,39.9302614678
17,CSC2014,2095.68898302,2408.63679245,-312.947809429
17,PierDup2014,3946.45471373,2408.63679245,1537.81792128
17,Totem_Laurier2014,2907.38079363,2408.63679245,498.744001179
17,Parc2014,2398.3324676,2408.63679245,-10.3043248548
18,Maisonneuve_22014,2302.10256098,2408.63679245,-106.534231469
18,Berri12014,2437.67977176,2408.63679245,29.0429793112
18,CSC2014,2101.12755419,2408.63679245,-307.509238267
18,PierDup2014,4318.05648144,2408.63679245,1909.41968899
18,Totem_Laurier2014,2998.73277184,2408.63679245,590.095979383
18,Parc2014,2438.43817032,2408.63679245,29.8013778709
19,Maisonneuve_22014,2391.93083576,2408.63679245,-16.7059566952
19,Berri12014,2293.19729457,2408.63679245,-115.439497886
19,CSC2014,2147.78848267,2408.63679245,-260.848309785
19,PierDup2014,2616.91772092,2408.63679245,208.28092847
19,Totem_Laurier2014,3135.2589113,2408.63679245,726.622118849
19,Parc2014,2460.05733493,2408.63679245,51.4205424746
20,Maisonneuve_22014,2442.16739619,2408.63679245,33.5306037378
20,Berri12014,2414.27769135,2408.63679245,5.64089889815
20,CSC2014,2405.01548854,2408.63679245,-3.62130391372
20,PierDup2014,2976.38132903,2408.63679245,567.744536579
20,Totem_Laurier2014,3189.69938004,2408.63679245,781.062587591
20,Parc2014,2598.45576624,2408.63679245,189.818973786
21,Maisonneuve_22014,2514.99237221,2408.63679245,106.355579759
21,Berri12014,2314.16315568,2408.63679245,-94.4736367697
21,CSC2014,2412.00211156,2408.63679245,3.36531910278
21,PierDup2014,2297.4654988,2408.63679245,-111.171293657
