week,long-term counter,estimate,actual,error
14,Maisonneuve_22014,1931.81731876,2408.63679245,-476.819473694
15,Maisonneuve_22014,2143.78060372,2408.63679245,-264.856188733
16,Maisonneuve_22014,2347.54956155,2408.63679245,-61.0872309001
17,Maisonneuve_22014,2360.28028961,2408.63679245,-48.3565028418
18,Maisonneuve_22014,2302.10256098,2408.63679245,-106.534231469
19,Maisonneuve_22014,2391.93083576,2408.63679245,-16.7059566952
20,Maisonneuve_22014,2442.16739619,2408.63679245,33.5306037378
21,Maisonneuve_22014,2514.99237221,2408.63679245,106.355579759
22,Maisonneuve_22014,2627.04727724,2408.63679245,218.410484792
23,Maisonneuve_22014,2364.19688085,2408.63679245,-44.439911602
24,Maisonneuve_22014,2388.42951875,2408.63679245,-20.2072737009
25,Maisonneuve_22014,2511.34564353,2408.63679245,102.708851079
26,Maisonneuve_22014,2504.82585962,2408.63679245,96.1890671702
27,Maisonneuve_22014,2605.18583554,2408.63679245,196.549043091
28,Maisonneuve_22014,2342.29356173,2408.63679245,-66.3432307202
29,Maisonneuve_22014,2384.18087749,2408.63679245,-24.4559149631
30,Maisonneuve_22014,2296.91895959,2408.63679245,-111.717832863
31,Maisonneuve_22014,2085.28674859,2408.63679245,-323.350043863
32,Maisonneuve_22014,2239.43053517,2408.63679245,-169.20625728
33,Maisonneuve_22014,2387.7500713,2408.63679245,-20.8867211544
34,Maisonneuve_22014,2463.21555657,2408.63679245,54.5787641143
35,Maisonneuve_22014,2452.60460363,2408.63679245,43.9678111758
36,Maisonneuve_22014,2407.55380228,2408.63679245,-1.08299016945
37,Maisonneuve_22014,2366.52819418,2408.63679245,-42.1085982758
38,Maisonneuve_22014,2439.0517581,2408.63679245,30.4149656499
39,Maisonneuve_22014,2407.5922168,2408.63679245,-1.04457565003
40,Maisonneuve_22014,2373.7833452,2408.63679245,-34.8534472505
41,Maisonneuve_22014,2369.16475232,2408.63679245,-39.4720401334
42,Maisonneuve_22014,2337.72536311,2408.63679245,-70.9114293429
43,Maisonneuve_22014,2311.79505414,2408.63679245,-96.8417383098
44,Maisonneuve_22014,2503.98120301,2408.63679245,95.3444105578
