week,long-term counter,estimate,actual,error
14,Maisonneuve_22014,2107.14493011,2484.49528302,-377.350352912
14,Berri12014,2740.72329099,2484.49528302,256.228007969
14,CSC2014,3725.76630978,2484.49528302,1241.27102676
14,PierDup2014,25495.5173885,2484.49528302,23011.0221055
14,Totem_Laurier2014,3064.46586348,2484.49528302,579.970580465
14,Maisonneuve_12014,2638.42040795,2484.49528302,153.925124927
15,Maisonneuve_22014,2579.65469367,2484.49528302,95.1594106527
15,Berri12014,2816.08894762,2484.49528302,331.593664605
15,CSC2014,4478.54054589,2484.49528302,1994.04526287
15,PierDup2014,7024.49763362,2484.49528302,4540.0023506
15,Totem_Laurier2014,3465.69019736,2484.49528302,981.194914338
15,Maisonneuve_12014,2914.71084819,2484.49528302,430.21556517
16,Maisonneuve_22014,2519.3625883,2484.49528302,34.8673052849
16,Berri12014,2508.61618318,2484.49528302,24.1209001582
16,CSC2014,4533.84561724,2484.49528302,2049.35033423
16,PierDup2014,5692.1745822,2484.49528302,3207.67929918
16,Totem_Laurier2014,3074.4268061,2484.49528302,589.931523077
16,Maisonneuve_12014,2597.12083885,2484.49528302,112.625555831
17,Maisonneuve_22014,2448.24236354,2484.49528302,-36.2529194796
17,Berri12014,2541.59284221,2484.49528302,57.0975591871
17,CSC2014,2173.24099366,2484.49528302,-311.254289356
17,PierDup2014,4183.37828056,2484.49528302,1698.88299754
17,Totem_Laurier2014,3026.82013848,2484.49528302,542.324855465
17,Maisonneuve_12014,2509.88806961,2484.49528302,25.3927865948
18,Maisonneuve_22014,2352.63471368,2484.49528302,-131.86056934
18,Berri12014,2491.74982492,2484.49528302,7.25454190073
18,CSC2014,2150.9335843,2484.49528302,-333.561698723
18,PierDup2014,4471.88161421,2484.49528302,1987.38633119
18,Totem_Laurier2014,3070.33861188,2484.49528302,585.843328859
18,Maisonneuve_12014,2461.0788097,2484.49528302,-23.4164733176
19,Maisonneuve_22014,2425.21521658,2484.49528302,-59.2800664427
19,Berri12014,2323.49137669,2484.49528302,-161.003906332
19,CSC2014,2169.8361437,2484.49528302,-314.659139323
19,PierDup2014,2663.53701875,2484.49528302,179.041735727
19,Totem_Laurier2014,3175.2586129,2484.49528302,690.763329877
19,Maisonneuve_12014,2441.81667006,2484.49528302,-42.6786129554
20,Maisonneuve_22014,2363.23909189,2484.49528302,-121.256191127
20,Berri12014,2337.34450641,2484.49528302,-147.150776612
20,CSC2014,2322.61261053,2484.49528302,-161.882672489
20,PierDup2014,2926.82020783,2484.49528302,442.324924806
20,Totem_Laurier2014,3100.22238123,2484.49528302,615.727098211
20,Maisonneuve_12014,2342.76676229,2484.49528302,-141.728520733
21,Maisonneuve_22014,2318.32558941,2484.49528302,-166.169693606
21,Berri12014,2133.82827004,2484.49528302,-350.667012974
21,CSC2014,2218.6177092,2484.49528302,-265.877573818
21,PierDup2014,2140.35822513,2484.49528302,-344.137057891
21,Totem_Laurier2014,2527.61136182,2484.49528302,43.1160787976
21,Maisonneuve_12014,2220.59889844,2484.49528302,-263.896384582
22,Maisonneuve_22014,2569.40549395,2484.49528302,84.9102109304
22,Berri12014,2321.51589587,2484.49528302,-162.979387154
22,CSC2014,2476.17905583,2484.49528302,-8.31622718525
22,PierDup2014,3725.71070073,2484.49528302,1241.21541771
22,Totem_Laurier2014,2277.65959663,2484.49528302,-206.835686391
22,Maisonneuve_12014,2370.87645942,2484.49528302,-113.618823599
23,Maisonneuve_22014,2400.00786364,2484.49528302,-84.4874193777
23,Berri12014,2331.14026049,2484.49528302,-153.355022531
23,CSC2014,2357.60905273,2484.49528302,-126.886230291
23,PierDup2014,5171.93479621,2484.49528302,2687.43951319
23,Totem_Laurier2014,2337.8508778,2484.49528302,-146.644405217
23,Maisonneuve_12014,2456.82706681,2484.49528302,-27.6682162079
24,Maisonneuve_22014,2418.56091235,2484.49528302,-65.9343706709
24,Berri12014,2377.16128047,2484.49528302,-107.334002549
24,CSC2014,2407.77587511,2484.49528302,-76.719407907
24,PierDup2014,5076.46713955,2484.49528302,2591.97185653
24,Totem_Laurier2014,2209.48802211,2484.49528302,-275.007260911
24,Maisonneuve_12014,2453.4690417,2484.49528302,-31.026241317
25,Maisonneuve_22014,2353.27028517,2484.49528302,-131.224997844
25,Berri12014,2179.03056678,2484.49528302,-305.464716235
25,CSC2014,2469.73139262,2484.49528302,-14.763890396
25,PierDup2014,2120.41423103,2484.49528302,-364.081051985
25,Totem_Laurier2014,2357.08110759,2484.49528302,-127.414175424
25,Maisonneuve_12014,2264.58526852,2484.49528302,-219.910014494
26,Maisonneuve_22014,2214.81121152,2484.49528302,-269.684071503
26,Berri12014,2185.45577588,2484.49528302,-299.039507143
26,CSC2014,2459.14916415,2484.49528302,-25.3461188685
26,PierDup2014,2077.50061689,2484.49528302,-406.994666124
26,Totem_Laurier2014,2048.65333533,2484.49528302,-435.841947685
26,Maisonneuve_12014,2215.55453196,2484.49528302,-268.94075106
27,Maisonneuve_22014,2104.70209264,2484.49528302,-379.79319038
27,Berri12014,1983.67469036,2484.49528302,-500.82059266
27,CSC2014,2492.7053558,2484.49528302,8.21007278228
27,PierDup2014,1929.18752721,2484.49528302,-555.307755812
27,Totem_Laurier2014,2020.87144725,2484.49528302,-463.623835765
27,Maisonneuve_12014,1958.91223753,2484.49528302,-525.583045486
28,Maisonneuve_22014,2150.93513574,2484.49528302,-333.560147278
28,Berri12014,2127.17378679,2484.49528302,-357.321496225
28,CSC2014,2470.65084135,2484.49528302,-13.8444416726
28,PierDup2014,2411.77892538,2484.49528302,-72.7163576414
28,Totem_Laurier2014,2077.93787611,2484.49528302,-406.557406906
28,Maisonneuve_12014,2227.26180221,2484.49528302,-257.233480809
29,Maisonneuve_22014,2152.32562725,2484.49528302,-332.169655773
29,Berri12014,2097.7092154,2484.49528302,-386.78606762
29,CSC2014,2474.79473436,2484.49528302,-9.70054866017
29,PierDup2014,1951.51986032,2484.49528302,-532.9754227
29,Totem_Laurier2014,2127.78305883,2484.49528302,-356.712224193
29,Maisonneuve_12014,2178.46460132,2484.49528302,-306.030681703
30,Maisonneuve_22014,2067.42690251,2484.49528302,-417.068380511
30,Berri12014,2169.21745158,2484.49528302,-315.277831437
30,CSC2014,2431.92700586,2484.49528302,-52.5682771561
30,PierDup2014,1870.79845081,2484.49528302,-613.696832211
30,Totem_Laurier2014,2091.08761674,2484.49528302,-393.407666276
30,Maisonneuve_12014,2181.17390958,2484.49528302,-303.321373437
31,Maisonneuve_22014,2175.86225617,2484.49528302,-308.633026846
31,Berri12014,2258.41646732,2484.49528302,-226.078815698
31,CSC2014,2347.53011375,2484.49528302,-136.965169271
31,PierDup2014,2078.34431158,2484.49528302,-406.150971438
31,Totem_Laurier2014,2202.70364201,2484.49528302,-281.791641007
31,Maisonneuve_12014,2529.62550606,2484.49528302,45.1302230388
32,Maisonneuve_22014,2182.30083889,2484.49528302,-302.194444127
32,Berri12014,2211.69765406,2484.49528302,-272.797628956
32,CSC2014,2460.72136284,2484.49528302,-23.7739201796
32,PierDup2014,1847.00130862,2484.49528302,-637.4939744
32,Totem_Laurier2014,2120.35463759,2484.49528302,-364.140645427
32,Maisonneuve_12014,2352.37126749,2484.49528302,-132.124015529
33,Maisonneuve_22014,2384.02148742,2484.49528302,-100.473795602
33,Berri12014,2509.89459343,2484.49528302,25.3993104065
33,CSC2014,2660.97777858,2484.49528302,176.482495557
33,PierDup2014,3254.87788771,2484.49528302,770.382604693
33,Totem_Laurier2014,2180.02814736,2484.49528302,-304.467135656
33,Maisonneuve_12014,2435.43440425,2484.49528302,-49.0608787686
34,Maisonneuve_22014,2470.11856554,2484.49528302,-14.3767174793
34,Berri12014,2392.05197056,2484.49528302,-92.4433124579
34,CSC2014,2523.32273319,2484.49528302,38.8274501713
34,PierDup2014,2176.15668917,2484.49528302,-308.338593853
34,Totem_Laurier2014,2355.17406244,2484.49528302,-129.321220582
34,Maisonneuve_12014,2424.70906166,2484.49528302,-59.7862213613
35,Maisonneuve_22014,2523.41270339,2484.49528302,38.9174203753
35,Berri12014,2564.53567853,2484.49528302,80.0403955066
35,CSC2014,2622.92853248,2484.49528302,138.433249457
35,PierDup2014,2471.19153025,2484.49528302,-13.3037527685
35,Totem_Laurier2014,2291.39713975,2484.49528302,-193.098143271
35,Maisonneuve_12014,2479.88468433,2484.49528302,-4.61059868458
36,Maisonneuve_22014,2589.40075615,2484.49528302,104.905473127
36,Berri12014,2576.81678562,2484.49528302,92.3215026008
36,CSC2014,2391.70541445,2484.49528302,-92.7898685697
36,PierDup2014,2689.89359603,2484.49528302,205.398313011
36,Totem_Laurier2014,2362.98120831,2484.49528302,-121.514074706
36,Maisonneuve_12014,2592.90024674,2484.49528302,108.404963722
37,Maisonneuve_22014,2818.62387206,2484.49528302,334.128589044
37,Berri12014,3048.39737261,2484.49528302,563.902089593
37,CSC2014,2373.79620751,2484.49528302,-110.699075509
37,PierDup2014,4360.3779137,2484.49528302,1875.88263068
37,Totem_Laurier2014,2627.86138651,2484.49528302,143.366103486
37,Maisonneuve_12014,2891.17625893,2484.49528302,406.68097591
38,Maisonneuve_22014,2743.4633832,2484.49528302,258.968100178
38,Berri12014,3008.36855254,2484.49528302,523.873269517
38,CSC2014,2483.19691389,2484.49528302,-1.2983691306
38,PierDup2014,4484.74851762,2484.49528302,2000.2532346
38,Totem_Laurier2014,2640.55576502,2484.49528302,156.060481999
38,Maisonneuve_12014,2717.32308683,2484.49528302,232.827803809
39,Maisonneuve_22014,2786.56292859,2484.49528302,302.06764557
39,Berri12014,2896.38772215,2484.49528302,411.892439127
39,CSC2014,2560.36228775,2484.49528302,75.8670047288
39,PierDup2014,4468.86283144,2484.49528302,1984.36754842
39,Totem_Laurier2014,2699.51726553,2484.49528302,215.021982516
