week,best long-term counter,best estimate,actual,best error
14,Maisonneuve_12014,2638.42040795,2484.49528302,153.925124927
15,Maisonneuve_22014,2579.65469367,2484.49528302,95.1594106527
16,Berri12014,2508.61618318,2484.49528302,24.1209001582
17,Maisonneuve_12014,2509.88806961,2484.49528302,25.3927865948
18,Berri12014,2491.74982492,2484.49528302,7.25454190073
19,Maisonneuve_12014,2441.81667006,2484.49528302,-42.6786129554
20,Maisonneuve_22014,2363.23909189,2484.49528302,-121.256191127
21,Totem_Laurier2014,2527.61136182,2484.49528302,43.1160787976
22,CSC2014,2476.17905583,2484.49528302,-8.31622718525
23,Maisonneuve_12014,2456.82706681,2484.49528302,-27.6682162079
24,Maisonneuve_12014,2453.4690417,2484.49528302,-31.026241317
25,CSC2014,2469.73139262,2484.49528302,-14.763890396
26,CSC2014,2459.14916415,2484.49528302,-25.3461188685
27,CSC2014,2492.7053558,2484.49528302,8.21007278228
28,CSC2014,2470.65084135,2484.49528302,-13.8444416726
29,CSC2014,2474.79473436,2484.49528302,-9.70054866017
30,CSC2014,2431.92700586,2484.49528302,-52.5682771561
31,Maisonneuve_12014,2529.62550606,2484.49528302,45.1302230388
32,CSC2014,2460.72136284,2484.49528302,-23.7739201796
33,Berri12014,2509.89459343,2484.49528302,25.3993104065
34,Maisonneuve_22014,2470.11856554,2484.49528302,-14.3767174793
35,Maisonneuve_12014,2479.88468433,2484.49528302,-4.61059868458
36,Berri12014,2576.81678562,2484.49528302,92.3215026008
37,CSC2014,2373.79620751,2484.49528302,-110.699075509
38,CSC2014,2483.19691389,2484.49528302,-1.2983691306
39,CSC2014,2560.36228775,2484.49528302,75.8670047288
40,CSC2014,2501.11458645,2484.49528302,16.6193034291
41,CSC2014,2598.51739788,2484.49528302,114.022114864
42,Totem_Laurier2014,2453.03430811,2484.49528302,-31.4609749085
43,Totem_Laurier2014,2641.84500841,2484.49528302,157.349725391
44,Totem_Laurier2014,2733.69096417,2484.49528302,249.195681147
