week,long-term counter,estimate,actual,error
14,Maisonneuve_22014,330.048616593,1556.23113208,-1226.18251548
14,Berri12014,426.046848973,1556.23113208,-1130.1842831
14,CSC2014,539.152560019,1556.23113208,-1017.07857206
14,Totem_Laurier2014,424.721971807,1556.23113208,-1131.50916027
14,Parc2014,356.219479326,1556.23113208,-1200.01165275
14,Maisonneuve_12014,415.066808252,1556.23113208,-1141.16432382
15,Maisonneuve_22014,952.271551611,1556.23113208,-603.959580465
15,Berri12014,943.09032119,1556.23113208,-613.140810885
15,CSC2014,1604.58476833,1556.23113208,48.353636253
15,Totem_Laurier2014,1139.92361765,1556.23113208,-416.307514428
15,Parc2014,929.211438001,1556.23113208,-627.019694074
15,Maisonneuve_12014,1042.15196023,1556.23113208,-514.079171846
16,Maisonneuve_22014,1353.66251998,1556.23113208,-202.568612096
16,Berri12014,1344.98583355,1556.23113208,-211.245298529
16,CSC2014,2634.88046315,1556.23113208,1078.64933107
16,Totem_Laurier2014,1563.82812978,1556.23113208,7.59699769996
16,Parc2014,1365.87037406,1556.23113208,-190.36075802
16,Maisonneuve_12014,1465.49994131,1556.23113208,-90.731190767
17,Maisonneuve_22014,1232.24854753,1556.23113208,-323.982584545
17,Berri12014,1268.66535604,1556.23113208,-287.565776031
17,CSC2014,1111.89381667,1556.23113208,-444.337315408
17,Totem_Laurier2014,1551.78022391,1556.23113208,-4.45090816157
17,Parc2014,1271.81402801,1556.23113208,-284.417104067
17,Maisonneuve_12014,1271.15337397,1556.23113208,-285.077758108
18,Maisonneuve_22014,979.30671668,1556.23113208,-576.924415395
18,Berri12014,1030.03682809,1556.23113208,-526.19430399
18,CSC2014,873.91235579,1556.23113208,-682.318776286
18,Totem_Laurier2014,1258.47020512,1556.23113208,-297.760926959
18,Parc2014,1048.64501775,1556.23113208,-507.586114323
18,Maisonneuve_12014,1021.62842984,1556.23113208,-534.602702236
19,Maisonneuve_22014,1732.00119284,1556.23113208,175.770060763
19,Berri12014,1599.97323485,1556.23113208,43.7421027773
19,CSC2014,1550.89021255,1556.23113208,-5.34091952805
19,Totem_Laurier2014,2145.08302531,1556.23113208,588.851893239
19,Parc2014,1787.48902742,1556.23113208,231.257895342
19,Maisonneuve_12014,1756.64029369,1556.23113208,200.409161616
20,Maisonneuve_22014,1589.54661652,1556.23113208,33.3154844442
20,Berri12014,1487.30356847,1556.23113208,-68.9275636092
20,CSC2014,1556.38554443,1556.23113208,0.15441234999
20,Totem_Laurier2014,1991.60086359,1556.23113208,435.369731514
20,Parc2014,1687.66713529,1556.23113208,131.43600321
20,Maisonneuve_12014,1574.2687576,1556.23113208,18.0376255248
21,Maisonneuve_22014,2333.43893111,1556.23113208,777.207799039
21,Berri12014,2023.40074874,1556.23113208,467.16961666
21,CSC2014,2191.23748983,1556.23113208,635.006357758
21,Totem_Laurier2014,2318.92953505,1556.23113208,762.698402974
21,Parc2014,2533.71200841,1556.23113208,977.480876331
21,Maisonneuve_12014,2243.08628344,1556.23113208,686.855151368
22,Maisonneuve_22014,1410.60560541,1556.23113208,-145.625526663
22,Berri12014,1192.28600227,1556.23113208,-363.945129806
