week,best long-term counter,best estimate,actual,best error
14,CSC2014,539.152560019,1556.23113208,-1017.07857206
15,CSC2014,1604.58476833,1556.23113208,48.353636253
16,Totem_Laurier2014,1563.82812978,1556.23113208,7.59699769996
17,Totem_Laurier2014,1551.78022391,1556.23113208,-4.45090816157
18,Totem_Laurier2014,1258.47020512,1556.23113208,-297.760926959
19,CSC2014,1550.89021255,1556.23113208,-5.34091952805
20,CSC2014,1556.38554443,1556.23113208,0.15441234999
21,Berri12014,2023.40074874,1556.23113208,467.16961666
22,Maisonneuve_22014,1410.60560541,1556.23113208,-145.625526663
23,Parc2014,973.343897045,1556.23113208,-582.88723503
24,Parc2014,1546.56014883,1556.23113208,-9.67098324522
25,Berri12014,1838.69797734,1556.23113208,282.466845265
26,Totem_Laurier2014,1801.56404616,1556.23113208,245.332914083
27,Berri12014,1882.60938481,1556.23113208,326.378252738
28,Totem_Laurier2014,1690.85225246,1556.23113208,134.621120383
29,Berri12014,2054.00089446,1556.23113208,497.769762387
30,Totem_Laurier2014,1886.39019542,1556.23113208,330.159063347
31,Totem_Laurier2014,2269.16580002,1556.23113208,712.934667941
32,Totem_Laurier2014,2063.46029803,1556.23113208,507.229165958
33,Maisonneuve_22014,1522.68304041,1556.23113208,-33.5480916693
34,Totem_Laurier2014,2059.32806017,1556.23113208,503.096928093
35,Totem_Laurier2014,1612.51357514,1556.23113208,56.2824430616
36,Totem_Laurier2014,1826.59887187,1556.23113208,270.367739798
37,Berri12014,1343.78066967,1556.23113208,-212.450462408
38,Berri12014,1146.72924111,1556.23113208,-409.501890966
39,Maisonneuve_12014,1445.42835093,1556.23113208,-110.802781143
40,Berri12014,1102.21284642,1556.23113208,-454.018285652
41,Berri12014,1073.47130498,1556.23113208,-482.759827098
42,Berri12014,1132.94748582,1556.23113208,-423.283646253
43,Berri12014,803.373644152,1556.23113208,-752.857487923
44,Maisonneuve_22014,638.823679298,1556.23113208,-917.407452777
