week,long-term counter,estimate,actual,error
14,Maisonneuve_22014,1931.21315039,2745.37735849,-814.164208102
14,Berri12014,2520.67763386,2745.37735849,-224.699724634
14,CSC2014,3413.13720102,2745.37735849,667.759842528
14,PierDup2014,22653.4467674,2745.37735849,19908.0694089
14,Parc2014,2275.0354884,2745.37735849,-470.341870087
14,Maisonneuve_12014,2425.21515857,2745.37735849,-320.162199923
15,Maisonneuve_22014,2225.99908856,2745.37735849,-519.378269934
15,Berri12014,2389.14181971,2745.37735849,-356.235538776
15,CSC2014,3891.97179346,2745.37735849,1146.59443497
15,PierDup2014,5445.38237133,2745.37735849,2700.00501284
15,Parc2014,2134.42868049,2745.37735849,-610.948677998
15,Maisonneuve_12014,2480.99365295,2745.37735849,-264.383705539
16,Maisonneuve_22014,2268.74845675,2745.37735849,-476.62890174
16,Berri12014,2265.08322581,2745.37735849,-480.294132681
16,CSC2014,4192.78382925,2745.37735849,1447.40647076
16,PierDup2014,4731.41448229,2745.37735849,1986.0371238
16,Parc2014,2262.08691934,2745.37735849,-483.290439155
16,Maisonneuve_12014,2350.35823429,2745.37735849,-395.019124204
17,Maisonneuve_22014,2308.04674746,2745.37735849,-437.330611027
17,Berri12014,2420.55583525,2745.37735849,-324.821523241
17,CSC2014,2061.44941442,2745.37735849,-683.927944075
17,PierDup2014,3984.33961579,2745.37735849,1238.9622573
17,Parc2014,2341.99389669,2745.37735849,-403.383461798
17,Maisonneuve_12014,2353.40542886,2745.37735849,-391.971929629
18,Maisonneuve_22014,2175.44611553,2745.37735849,-569.931242966
18,Berri12014,2332.23079575,2745.37735849,-413.146562745
18,CSC2014,2019.4950515,2745.37735849,-725.882306992
18,PierDup2014,4150.50153194,2745.37735849,1405.12417345
18,Parc2014,2353.04623574,2745.37735849,-392.331122751
18,Maisonneuve_12014,2319.27702155,2745.37735849,-426.100336937
19,Maisonneuve_22014,2137.0215048,2745.37735849,-608.355853694
19,Berri12014,2037.30746969,2745.37735849,-708.069888801
19,CSC2014,1927.67634263,2745.37735849,-817.701015862
19,PierDup2014,2249.67340513,2745.37735849,-495.70395336
19,Parc2014,2205.99985765,2745.37735849,-539.377500838
19,Maisonneuve_12014,2160.58310766,2745.37735849,-584.794250827
20,Maisonneuve_22014,2130.89636989,2745.37735849,-614.480988605
20,Berri12014,2092.18249105,2745.37735849,-653.194867438
20,CSC2014,2110.0570833,2745.37735849,-635.320275186
20,PierDup2014,2558.40692758,2745.37735849,-186.970430909
20,Parc2014,2274.86071066,2745.37735849,-470.516647834
20,Maisonneuve_12014,2106.64743028,2745.37735849,-638.729928214
21,Maisonneuve_22014,2671.87291578,2745.37735849,-73.5044427079
21,Berri12014,2429.70200072,2745.37735849,-315.675357767
21,CSC2014,2579.57010201,2745.37735849,-165.807256484
21,PierDup2014,2276.51329802,2745.37735849,-468.864060472
21,Parc2014,2907.39079643,2745.37735849,162.013437937
21,Maisonneuve_12014,2563.42623199,2745.37735849,-181.951126502
22,Maisonneuve_22014,3165.28349305,2745.37735849,419.906134561
22,Berri12014,2835.79394441,2745.37735849,90.4165859175
22,CSC2014,3051.94824359,2745.37735849,306.570885095
22,PierDup2014,4417.84569562,2745.37735849,1672.46833713
22,Parc2014,3084.82357543,2745.37735849,339.446216936
22,Maisonneuve_12014,2903.35132857,2745.37735849,157.973970082
23,Maisonneuve_22014,2867.72012354,2745.37735849,122.342765053
23,Berri12014,2755.05195489,2745.37735849,9.67459640383
23,CSC2014,2821.19351835,2745.37735849,75.816159864
23,PierDup2014,5869.25792723,2745.37735849,3123.88056874
23,Parc2014,2985.23246092,2745.37735849,239.855102426
23,Maisonneuve_12014,2944.05916499,2745.37735849,198.681806501
24,Maisonneuve_22014,3058.03227559,2745.37735849,312.654917103
24,Berri12014,2978.99019725,2745.37735849,233.612838764
24,CSC2014,3069.23088118,2745.37735849,323.853522693
24,PierDup2014,6329.33225428,2745.37735849,3583.95489578
24,Parc2014,3169.51769617,2745.37735849,424.140337677
24,Maisonneuve_12014,3082.62283713,2745.37735849,337.245478643
25,Maisonneuve_22014,2763.82641566,2745.37735849,18.4490571735
25,Berri12014,2551.73520392,2745.37735849,-193.642154573
25,CSC2014,2931.50500102,2745.37735849,186.12764253
25,PierDup2014,2418.87856535,2745.37735849,-326.498793141
25,Parc2014,2941.42977969,2745.37735849,196.052421195
25,Maisonneuve_12014,2668.44535404,2745.37735849,-76.9320044555
26,Maisonneuve_22014,3092.58746642,2745.37735849,347.210107925
26,Berri12014,3116.27099945,2745.37735849,370.893640961
26,CSC2014,3443.16753851,2745.37735849,697.790180015
26,PierDup2014,2827.1618116,2745.37735849,81.7844531105
26,Parc2014,3512.3437006,2745.37735849,766.966342111
26,Maisonneuve_12014,3180.59193637,2745.37735849,435.214577878
27,Maisonneuve_22014,2905.37965281,2745.37735849,160.002294322
27,Berri12014,2700.22560272,2745.37735849,-45.1517557756
27,CSC2014,3433.07590658,2745.37735849,687.698548091
27,PierDup2014,2525.80135636,2745.37735849,-219.576002135
27,Parc2014,3456.46086566,2745.37735849,711.083507174
27,Maisonneuve_12014,2690.83600365,2745.37735849,-54.5413548449
28,Maisonneuve_22014,2896.20821084,2745.37735849,150.830852346
28,Berri12014,2853.91275304,2745.37735849,108.535394554
28,CSC2014,3397.13458901,2745.37735849,651.757230524
28,PierDup2014,3104.8589036,2745.37735849,359.481545109
28,Parc2014,3435.41508948,2745.37735849,690.037730989
28,Maisonneuve_12014,2989.10860119,2745.37735849,243.731242702
29,Maisonneuve_22014,2796.26806494,2745.37735849,50.8907064446
29,Berri12014,2710.67158685,2745.37735849,-34.7057716389
29,CSC2014,3263.36164051,2745.37735849,517.984282017
29,PierDup2014,2404.96251158,2745.37735849,-340.414846909
29,Parc2014,3298.41778935,2745.37735849,553.040430861
29,Maisonneuve_12014,2825.79509097,2745.37735849,80.4177324746
30,Maisonneuve_22014,2744.03801213,2745.37735849,-1.33934635927
30,Berri12014,2875.78435479,2745.37735849,130.406996302
30,CSC2014,3214.17359082,2745.37735849,468.796232331
30,PierDup2014,2426.56028732,2745.37735849,-318.817071171
30,Parc2014,3323.19528391,2745.37735849,577.817925423
30,Maisonneuve_12014,2898.77529557,2745.37735849,153.397937084
31,Maisonneuve_22014,2747.03415173,2745.37735849,1.65679323784
31,Berri12014,2816.08222385,2745.37735849,70.7048653631
31,CSC2014,3004.02945608,2745.37735849,258.652097586
31,PierDup2014,2468.54864231,2745.37735849,-276.828716185
31,Parc2014,3191.83125521,2745.37735849,446.453896715
31,Maisonneuve_12014,3180.74085194,2745.37735849,435.363493445
32,Maisonneuve_22014,2891.93380472,2745.37735849,146.556446228
32,Berri12014,2875.6946125,2745.37735849,130.317254006
32,CSC2014,3251.65549844,2745.37735849,506.278139949
32,PierDup2014,2295.56745437,2745.37735849,-449.809904116
32,Parc2014,3314.06696797,2745.37735849,568.689609477
32,Maisonneuve_12014,3106.43207018,2745.37735849,361.05471169
33,Maisonneuve_22014,3136.55357292,2745.37735849,391.176214427
33,Berri12014,3257.47097227,2745.37735849,512.093613777
33,CSC2014,3527.708734,2745.37735849,782.331375504
33,PierDup2014,4106.88575775,2745.37735849,1361.50839926
33,Parc2014,3341.13062347,2745.37735849,595.753264977
33,Maisonneuve_12014,3169.99310894,2745.37735849,424.615750454
34,Maisonneuve_22014,2928.52706101,2745.37735849,183.149702515
34,Berri12014,2799.16835129,2745.37735849,53.7909927963
34,CSC2014,2990.48158806,2745.37735849,245.104229571
34,PierDup2014,2451.20446114,2745.37735849,-294.172897355
34,Parc2014,2955.07290913,2745.37735849,209.695550639
34,Maisonneuve_12014,2863.27437391,2745.37735849,117.897015422
35,Maisonneuve_22014,3085.29398756,2745.37735849,339.916629074
35,Berri12014,3119.54743984,2745.37735849,374.170081351
35,CSC2014,3279.84545961,2745.37735849,534.46810112
35,PierDup2014,2925.52997774,2745.37735849,180.152619253
35,Parc2014,3085.01342877,2745.37735849,339.636070279
35,Maisonneuve_12014,3058.52879355,2745.37735849,313.151435055
36,Maisonneuve_22014,3136.03781319,2745.37735849,390.660454695
36,Berri12014,3096.16480103,2745.37735849,350.787442543
36,CSC2014,2946.43672175,2745.37735849,201.059363257
36,PierDup2014,3031.69274981,2745.37735849,286.315391321
36,Parc2014,3052.13863018,2745.37735849,306.761271686
36,Maisonneuve_12014,3179.44547674,2745.37735849,434.068118246
37,Maisonneuve_22014,3104.36248907,2745.37735849,358.985130575
37,Berri12014,3376.8762036,2745.37735849,631.498845108
37,CSC2014,2609.50523447,2745.37735849,-135.872124017
37,PierDup2014,4667.15632409,2745.37735849,1921.7789656
37,Parc2014,2765.40145869,2745.37735849,20.0241001992
37,Maisonneuve_12014,3194.82478878,2745.37735849,449.447430285
38,Maisonneuve_22014,3069.80738623,2745.37735849,324.430027737
38,Berri12014,3374.23511907,2745.37735849,628.85776058
38,CSC2014,2858.03430091,2745.37735849,112.656942422
38,PierDup2014,4759.97655088,2745.37735849,2014.59919239
38,Parc2014,2839.27499185,2745.37735849,93.8976333569
38,Maisonneuve_12014,3019.53801626,2745.37735849,274.160657771
39,Maisonneuve_22014,2913.96507261,2745.37735849,168.587714121
39,Berri12014,2979.49530987,2745.37735849,234.117951376
39,CSC2014,2744.7536032,2745.37735849,-0.62375528907
39,PierDup2014,4240.06285328,2745.37735849,1494.68549479
39,Parc2014,2645.37214031,2745.37735849,-100.005218186
39,Maisonneuve_12014,2958.84184801,2745.37735849,213.464489521
40,Maisonneuve_22014,3222.1342249,2745.37735849,476.756866409
40,Berri12014,3646.55706299,2745.37735849,901.179704497
40,CSC2014,2983.89055431,2745.37735849,238.513195821
40,PierDup2014,6209.98070794,2745.37735849,3464.60334945
40,Parc2014,2904.43084002,2745.37735849,159.053481528
40,Maisonneuve_12014,3298.38784907,2745.37735849,553.01049058
41,Maisonneuve_22014,3019.26243456,2745.37735849,273.885076072
41,Berri12014,3323.10075463,2745.37735849,577.723396137
41,CSC2014,2878.75624612,2745.37735849,133.378887632
41,PierDup2014,7260.56444427,2745.37735849,4515.18708578
41,Parc2014,2806.03170044,2745.37735849,60.6543419521
41,Maisonneuve_12014,3062.83318497,2745.37735849,317.455826482
42,Maisonneuve_22014,3301.96575077,2745.37735849,556.58839228
42,Berri12014,3632.07973977,2745.37735849,886.702381277
42,CSC2014,3358.25402928,2745.37735849,612.876670787
42,PierDup2014,6932.31701387,2745.37735849,4186.93965538
42,Parc2014,2911.59770709,2745.37735849,166.220348595
42,Maisonneuve_12014,3440.52530281,2745.37735849,695.147944321
43,Maisonneuve_22014,3302.79623265,2745.37735849,557.41887416
43,Berri12014,3781.75968891,2745.37735849,1036.38233042
43,CSC2014,3429.02835181,2745.37735849,683.650993319
43,PierDup2014,8325.92875384,2745.37735849,5580.55139535
43,Parc2014,2739.18921263,2745.37735849,-6.1881458609
43,Maisonneuve_12014,3431.46967681,2745.37735849,686.092318322
44,Maisonneuve_22014,5203.17059426,2745.37735849,2457.79323577
44,Berri12014,3498.95764049,2745.37735849,753.580281998
44,CSC2014,2860.43532543,2745.37735849,115.057966938
44,PierDup2014,12502.8068853,2745.37735849,9757.4295268
44,Parc2014,2560.36614684,2745.37735849,-185.011211646
