week,best long-term counter,best estimate,actual,best error
14,Berri12014,2520.67763386,2745.37735849,-224.699724634
15,Maisonneuve_12014,2480.99365295,2745.37735849,-264.383705539
16,Maisonneuve_12014,2350.35823429,2745.37735849,-395.019124204
17,Berri12014,2420.55583525,2745.37735849,-324.821523241
18,Parc2014,2353.04623574,2745.37735849,-392.331122751
19,PierDup2014,2249.67340513,2745.37735849,-495.70395336
20,PierDup2014,2558.40692758,2745.37735849,-186.970430909
21,Maisonneuve_22014,2671.87291578,2745.37735849,-73.5044427079
22,Berri12014,2835.79394441,2745.37735849,90.4165859175
23,Berri12014,2755.05195489,2745.37735849,9.67459640383
24,Berri12014,2978.99019725,2745.37735849,233.612838764
25,Maisonneuve_22014,2763.82641566,2745.37735849,18.4490571735
26,PierDup2014,2827.1618116,2745.37735849,81.7844531105
27,Berri12014,2700.22560272,2745.37735849,-45.1517557756
28,Berri12014,2853.91275304,2745.37735849,108.535394554
29,Berri12014,2710.67158685,2745.37735849,-34.7057716389
30,Maisonneuve_22014,2744.03801213,2745.37735849,-1.33934635927
31,Maisonneuve_22014,2747.03415173,2745.37735849,1.65679323784
32,Berri12014,2875.6946125,2745.37735849,130.317254006
33,Maisonneuve_22014,3136.55357292,2745.37735849,391.176214427
34,Berri12014,2799.16835129,2745.37735849,53.7909927963
35,PierDup2014,2925.52997774,2745.37735849,180.152619253
36,CSC2014,2946.43672175,2745.37735849,201.059363257
37,Parc2014,2765.40145869,2745.37735849,20.0241001992
38,Parc2014,2839.27499185,2745.37735849,93.8976333569
39,CSC2014,2744.7536032,2745.37735849,-0.62375528907
40,Parc2014,2904.43084002,2745.37735849,159.053481528
41,Parc2014,2806.03170044,2745.37735849,60.6543419521
42,Parc2014,2911.59770709,2745.37735849,166.220348595
43,Parc2014,2739.18921263,2745.37735849,-6.1881458609
44,CSC2014,2860.43532543,2745.37735849,115.057966938
