Date,,Berri1,Berri1 IN,Berri1 OUT,CSC,CSC IN,CSC OUT,Maisonneuve_1,Mais1 IN,Mais1 OUT,Maisonneuve_2,Mais2 IN,Mais2 OUT,Parc,Parc IN,Parc OUT,PierDup,PierDup IN,PierDup OUT,Rachel1,Rachel1 IN,Rachel1 OUT,Saint-Urbain,Saint-Urbain New_IN,Saint-Urbain New_OUT,Totem_Laurier,Totem_Laurier_IN,Totem_Laurier_OUT
18/01/2008,0:00,334,174,160,,,,195,71,124,457,368,89,,,,,,,,,,,,,,,
19/01/2008,0:00,175,81,94,,,,85,28,57,97,50,47,,,,,,,,,,,,,,,
20/01/2008,0:00,329,57,272,,,,45,19,26,72,34,38,,,,,,,,,,,,,,,
21/01/2008,0:00,64,1,63,,,,278,69,209,242,144,98,,,,,,,,,,,,,,,
22/01/2008,0:00,438,83,355,,,,281,22,259,101,47,54,,,,,,,,,,,,,,,
23/01/2008,0:00,483,153,330,,,,380,45,335,240,167,73,,,,,,,,,,,,,,,
24/01/2008,0:00,234,93,141,,,,409,150,259,258,152,106,,,,,,,,,,,,,,,
25/01/2008,0:00,857,182,675,,,,145,107,38,229,135,94,,,,,,,,,,,,,,,
26/01/2008,0:00,262,49,213,,,,101,39,62,109,61,48,,,,,,,,,,,,,,,
27/01/2008,0:00,171,81,90,,,,48,32,16,98,53,45,,,,,,,,,,,,,,,
28/01/2008,0:00,481,282,199,,,,338,89,249,352,212,140,,,,,,,,,,,,,,,
29/01/2008,0:00,461,226,235,,,,310,116,194,204,120,84,,,,,,,,,,,,,,,
30/01/2008,0:00,183,134,49,,,,98,33,65,173,113,60,,,,,,,,,,,,,,,
31/01/2008,0:00,205,186,19,,,,138,36,102,193,111,82,,,,,,,,,,,,,,,
01/02/2008,0:00,114,66,48,,,,106,17,89,104,65,39,,,,,,,,,,,,,,,
02/02/2008,0:00,91,52,39,,,,71,1,70,8,3,5,,,,,,,,,,,,,,,
03/02/2008,0:00,135,75,60,,,,67,14,53,26,16,10,,,,,,,,,,,,,,,
04/02/2008,0:00,241,156,85,,,,155,24,131,249,73,176,,,,,,,,,,,,,,,
05/02/2008,0:00,335,174,161,,,,121,23,98,101,66,35,,,,,,,,,,,,,,,
06/02/2008,0:00,254,155,99,,,,101,38,63,93,84,9,,,,,,,,,,,,,,,
07/02/2008,0:00,272,158,114,,,,65,15,50,88,83,5,,,,,,,,,,,,,,,
08/02/2008,0:00,337,191,146,,,,121,34,87,146,116,30,,,,,,,,,,,,,,,
09/02/2008,0:00,153,70,83,,,,51,27,24,67,35,32,,,,,,,,,,,,,,,
10/02/2008,0:00,144,39,105,,,,59,12,47,67,34,33,,,,,,,,,,,,,,,
11/02/2008,0:00,327,111,216,,,,114,19,95,180,99,81,,,,,,,,,,,,,,,
12/02/2008,0:00,515,124,391,,,,103,21,82,178,89,89,,,,,,,,,,,,,,,
13/02/2008,0:00,151,2,149,,,,174,1,173,25,18,7,,,,,,,,,,,,,,,
14/02/2008,0:00,366,91,275,,,,165,1,164,137,84,53,,,,,,,,,,,,,,,
15/02/2008,0:00,159,36,123,,,,107,7,100,44,23,21,,,,,,,,,,,,,,,
16/02/2008,0:00,119,40,79,,,,92,13,79,64,17,47,,,,,,,,,,,,,,,
17/02/2008,0:00,104,40,64,,,,95,5,90,79,67,12,,,,,,,,,,,,,,,
18/02/2008,0:00,267,153,114,,,,107,41,66,209,123,86,,,,,,,,,,,,,,,
19/02/2008,0:00,345,225,120,,,,97,34,63,226,127,99,,,,,,,,,,,,,,,
20/02/2008,0:00,330,165,165,,,,89,22,67,214,121,93,,,,,,,,,,,,,,,
21/02/2008,0:00,460,286,174,,,,96,42,54,226,132,94,,,,,,,,,,,,,,,
22/02/2008,0:00,391,182,209,,,,160,33,127,205,110,95,,,,,,,,,,,,,,,
23/02/2008,0:00,202,35,167,,,,82,21,61,78,48,30,,,,,,,,,,,,,,,
24/02/2008,0:00,202,83,119,,,,50,22,28,117,64,53,,,,,,,,,,,,,,,
25/02/2008,0:00,327,190,137,,,,118,50,68,325,201,124,,,,,,,,,,,,,,,
26/02/2008,0:00,264,98,166,,,,70,33,37,189,109,80,,,,,,,,,,,,,,,
27/02/2008,0:00,189,82,107,,,,64,22,42,97,59,38,,,,,,,,,,,,,,,
28/02/2008,0:00,301,143,158,,,,137,45,92,81,48,33,,,,,,,,,,,,,,,
29/02/2008,0:00,278,113,165,,,,110,39,71,97,55,42,,,,,,,,,,,,,,,
01/03/2008,0:00,103,35,68,,,,75,7,68,34,20,14,,,,,,,,,,,,,,,
02/03/2008,0:00,133,47,86,,,,65,4,61,67,39,28,,,,,,,,,,,,,,,
03/03/2008,0:00,220,122,98,,,,110,13,97,26,13,13,,,,,,,,,,,,,,,
04/03/2008,0:00,342,159,183,,,,144,52,92,253,148,105,,,,,,,,,,,,,,,
05/03/2008,0:00,117,25,92,,,,47,2,45,21,16,5,,,,,,,,,,,,,,,
06/03/2008,0:00,320,5,315,,,,131,23,108,136,26,110,,,,,,,,,,,,,,,
07/03/2008,0:00,214,7,207,,,,96,9,87,193,12,181,,,,,,,,,,,,,,,
08/03/2008,0:00,88,9,79,,,,34,0,34,9,2,7,,,,,,,,,,,,,,,
09/03/2008,0:00,0,0,0,,,,0,0,0,31,22,9,,,,,,,,,,,,,,,
10/03/2008,0:00,0,0,0,,,,0,0,0,5,2,3,,,,,,,,,,,,,,,
11/03/2008,0:00,1,0,1,,,,0,0,0,12,9,3,,,,,,,,,,,,,,,
12/03/2008,0:00,10,10,0,,,,15,7,8,18,5,13,,,,,,,,,,,,,,,
13/03/2008,0:00,103,11,92,,,,19,0,19,20,9,11,,,,,,,,,,,,,,,
14/03/2008,0:00,85,22,63,,,,6,0,6,19,10,9,,,,,,,,,,,,,,,
15/03/2008,0:00,38,11,27,,,,21,0,21,8,1,7,,,,,,,,,,,,,,,
16/03/2008,0:00,52,9,43,,,,25,9,16,21,3,18,,,,,,,,,,,,,,,
17/03/2008,0:00,182,47,135,,,,71,18,53,65,24,41,,,,,,,,,,,,,,,
18/03/2008,0:00,300,96,204,,,,116,39,77,125,63,62,,,,,,,,,,,,,,,
19/03/2008,0:00,311,96,215,,,,90,26,64,109,8,101,,,,,,,,,,,,,,,
20/03/2008,0:00,273,103,170,,,,87,40,47,157,5,152,,,,,,,,,,,,,,,
21/03/2008,0:00,163,74,89,,,,90,24,66,80,3,77,,,,,,,,,,,,,,,
22/03/2008,0:00,103,48,55,,,,35,23,12,68,1,67,,,,,,,,,,,,,,,
23/03/2008,0:00,112,44,68,,,,45,22,23,57,4,53,,,,,,,,,,,,,,,
24/03/2008,0:00,119,57,62,,,,64,34,30,148,8,140,,,,,,,,,,,,,,,
25/03/2008,0:00,408,162,246,,,,162,90,72,335,67,268,,,,,,,,,,,,,,,
26/03/2008,0:00,391,163,228,,,,229,115,114,363,87,276,,,,,,,,,,,,,,,
27/03/2008,0:00,393,137,256,,,,214,123,91,411,192,219,,,,,,,,,,,,,,,
28/03/2008,0:00,382,177,205,,,,221,107,114,403,217,186,,,,,,,,,,,,,,,
29/03/2008,0:00,266,112,154,,,,139,71,68,203,97,106,,,,,,,,,,,,,,,
30/03/2008,0:00,327,142,185,,,,161,82,79,255,126,129,,,,,,,,,,,,,,,
31/03/2008,0:00,296,126,170,,,,178,83,95,342,188,154,,,,,,,,,,,,,,,
01/04/2008,0:00,552,222,330,,,,286,171,115,539,316,223,,,,,,,,,,,,,,,
02/04/2008,0:00,568,272,296,,,,349,171,178,685,397,288,,,,,,,,,,,,,,,
03/04/2008,0:00,697,270,427,,,,474,247,227,897,503,394,,,,,,,,,,,,,,,
04/04/2008,0:00,440,196,244,,,,263,124,139,505,281,224,,,,,,,,,,,,,,,
05/04/2008,0:00,442,197,245,,,,299,159,140,487,286,201,,,,,,,,,,,,,,,
