Date,,ALEX,ALEX_IN,ALEX_OUT,COBY,COBY_IN,COBY_OUT,CRTZ,CRTZ_IN,CRTZ_OUT,LLYN,LLYN_IN,LLYN_OUT,LMET,LMET_IN,LMET_OUT,ORPY,ORPY_IN,ORPY_OUT,Portage Bridge Totem,Portage_SB,Portage_NB
01/01/2011,00:00,0,0,0,25,10,15,,,,,,,,,,4,1,3,,,
02/01/2011,00:00,0,0,0,31,18,13,,,,,,,,,,11,5,6,,,
03/01/2011,00:00,0,0,0,27,10,17,,,,,,,,,,3,0,3,,,
04/01/2011,00:00,0,0,0,29,15,14,,,,,,,,,,10,5,5,,,
05/01/2011,00:00,0,0,0,46,25,21,,,,,,,,,,11,7,4,,,
06/01/2011,00:00,0,0,0,37,20,17,,,,,,,,,,7,3,4,,,
07/01/2011,00:00,0,0,0,30,15,15,,,,,,,,,,5,2,3,,,
08/01/2011,00:00,0,0,0,6,3,3,,,,,,,,,,0,0,0,,,
09/01/2011,00:00,0,0,0,15,8,7,,,,,,,,,,1,1,0,,,
10/01/2011,00:00,0,0,0,41,20,21,,,,,,,,,,1,0,1,,,
11/01/2011,00:00,0,0,0,41,18,23,,,,,,,,,,0,0,0,,,
12/01/2011,00:00,0,0,0,42,19,23,,,,,,,,,,2,2,0,,,
13/01/2011,00:00,0,0,0,41,16,25,,,,,,,,,,1,0,1,,,
14/01/2011,00:00,0,0,0,39,16,23,,,,,,,,,,1,0,1,,,
15/01/2011,00:00,0,0,0,13,5,8,,,,,,,,,,2,2,0,,,
16/01/2011,00:00,0,0,0,12,4,8,,,,,,,,,,1,0,1,,,
17/01/2011,00:00,0,0,0,25,9,16,,,,,,,,,,1,1,0,,,
18/01/2011,00:00,0,0,0,35,14,21,,,,,,,,,,3,2,1,,,
19/01/2011,00:00,0,0,0,51,23,28,,,,,,,,,,0,0,0,,,
20/01/2011,00:00,0,0,0,38,17,21,,,,,,,,,,0,0,0,,,
21/01/2011,00:00,0,0,0,40,14,26,,,,,,,,,,0,0,0,,,
22/01/2011,00:00,0,0,0,6,4,2,,,,,,,,,,1,0,1,,,
23/01/2011,00:00,0,0,0,4,1,3,,,,,,,,,,1,0,1,,,
24/01/2011,00:00,0,0,0,33,13,20,,,,,,,,,,0,0,0,,,
25/01/2011,00:00,0,0,0,31,15,16,,,,,,,,,,0,0,0,,,
26/01/2011,00:00,0,0,0,44,18,26,,,,,,,,,,0,0,0,,,
27/01/2011,00:00,0,0,0,42,23,19,,,,,,,,,,0,0,0,,,
28/01/2011,00:00,0,0,0,33,17,16,,,,,,,,,,0,0,0,,,
29/01/2011,00:00,0,0,0,19,7,12,,,,,,,,,,3,0,3,,,
30/01/2011,00:00,0,0,0,11,6,5,,,,,,,,,,4,2,2,,,
31/01/2011,00:00,0,0,0,38,18,20,,,,,,,,,,0,0,0,,,
01/02/2011,00:00,0,0,0,37,21,16,,,,,,,,,,2,2,0,,,
