Date,,,ALEX,ALEX_IN,ALEX_OUT,COBY,COBY_IN,COBY_OUT,CRTZ,CRTZ_IN,CRTZ_OUT,LLYN,LLYN_IN,LLYN_OUT,LMET,LMET_IN,LMET_OUT,ORPY,ORPY_IN,ORPY_OUT
01/01/2011,1,0:00,0,0,0,2,0,2,,,,,,,,,,0,0,0
01/01/2011,1,1:00,0,0,0,1,0,1,,,,,,,,,,0,0,0
01/01/2011,1,2:00,0,0,0,0,0,0,,,,,,,,,,0,0,0
01/01/2011,1,3:00,0,0,0,0,0,0,,,,,,,,,,0,0,0
01/01/2011,1,4:00,0,0,0,0,0,0,,,,,,,,,,0,0,0
01/01/2011,1,5:00,0,0,0,0,0,0,,,,,,,,,,0,0,0
01/01/2011,1,6:00,0,0,0,0,0,0,,,,,,,,,,0,0,0
01/01/2011,1,7:00,0,0,0,0,0,0,,,,,,,,,,0,0,0
01/01/2011,1,8:00,0,0,0,0,0,0,,,,,,,,,,0,0,0
01/01/2011,1,9:00,0,0,0,2,2,0,,,,,,,,,,0,0,0
01/01/2011,1,10:00,0,0,0,4,2,2,,,,,,,,,,0,0,0
01/01/2011,1,11:00,0,0,0,0,0,0,,,,,,,,,,1,0,1
01/01/2011,1,12:00,0,0,0,0,0,0,,,,,,,,,,0,0,0
01/01/2011,1,13:00,0,0,0,5,3,2,,,,,,,,,,0,0,0
01/01/2011,1,14:00,0,0,0,1,0,1,,,,,,,,,,1,0,1
01/01/2011,1,15:00,0,0,0,6,2,4,,,,,,,,,,0,0,0
01/01/2011,1,16:00,0,0,0,0,0,0,,,,,,,,,,0,0,0
01/01/2011,1,17:00,0,0,0,0,0,0,,,,,,,,,,0,0,0
01/01/2011,1,18:00,0,0,0,1,0,1,,,,,,,,,,0,0,0
01/01/2011,1,19:00,0,0,0,0,0,0,,,,,,,,,,0,0,0
01/01/2011,1,20:00,0,0,0,1,0,1,,,,,,,,,,1,1,0
01/01/2011,1,21:00,0,0,0,0,0,0,,,,,,,,,,1,0,1
01/01/2011,1,22:00,0,0,0,2,1,1,,,,,,,,,,0,0,0
01/01/2011,1,23:00,0,0,0,0,0,0,,,,,,,,,,0,0,0
02/01/2011,0,0:00,0,0,0,0,0,0,,,,,,,,,,0,0,0
02/01/2011,0,1:00,0,0,0,0,0,0,,,,,,,,,,0,0,0
02/01/2011,0,2:00,0,0,0,0,0,0,,,,,,,,,,0,0,0
02/01/2011,0,3:00,0,0,0,0,0,0,,,,,,,,,,0,0,0
02/01/2011,0,4:00,0,0,0,0,0,0,,,,,,,,,,0,0,0
02/01/2011,0,5:00,0,0,0,0,0,0,,,,,,,,,,0,0,0
02/01/2011,0,6:00,0,0,0,0,0,0,,,,,,,,,,0,0,0
02/01/2011,0,7:00,0,0,0,0,0,0,,,,,,,,,,0,0,0
02/01/2011,0,8:00,0,0,0,0,0,0,,,,,,,,,,0,0,0
02/01/2011,0,9:00,0,0,0,0,0,0,,,,,,,,,,0,0,0
02/01/2011,0,10:00,0,0,0,2,0,2,,,,,,,,,,0,0,0
02/01/2011,0,11:00,0,0,0,1,1,0,,,,,,,,,,0,0,0
02/01/2011,0,12:00,0,0,0,3,1,2,,,,,,,,,,2,0,2
02/01/2011,0,13:00,0,0,0,2,0,2,,,,,,,,,,1,0,1
02/01/2011,0,14:00,0,0,0,9,8,1,,,,,,,,,,3,2,1
02/01/2011,0,15:00,0,0,0,7,5,2,,,,,,,,,,2,1,1
02/01/2011,0,16:00,0,0,0,3,2,1,,,,,,,,,,1,1,0
02/01/2011,0,17:00,0,0,0,1,1,0,,,,,,,,,,0,0,0
02/01/2011,0,18:00,0,0,0,1,0,1,,,,,,,,,,0,0,0
02/01/2011,0,19:00,0,0,0,1,0,1,,,,,,,,,,1,0,1
02/01/2011,0,20:00,0,0,0,0,0,0,,,,,,,,,,1,1,0
02/01/2011,0,21:00,0,0,0,0,0,0,,,,,,,,,,0,0,0
02/01/2011,0,22:00,0,0,0,1,0,1,,,,,,,,,,0,0,0
02/01/2011,0,23:00,0,0,0,0,0,0,,,,,,,,,,0,0,0
03/01/2011,0,0:00,0,0,0,0,0,0,,,,,,,,,,0,0,0
03/01/2011,0,1:00,0,0,0,0,0,0,,,,,,,,,,0,0,0
03/01/2011,0,2:00,0,0,0,0,0,0,,,,,,,,,,0,0,0
03/01/2011,0,3:00,0,0,0,0,0,0,,,,,,,,,,0,0,0
03/01/2011,0,4:00,0,0,0,0,0,0,,,,,,,,,,0,0,0
03/01/2011,0,5:00,0,0,0,0,0,0,,,,,,,,,,0,0,0
03/01/2011,0,6:00,0,0,0,0,0,0,,,,,,,,,,0,0,0
03/01/2011,0,7:00,0,0,0,0,0,0,,,,,,,,,,0,0,0
03/01/2011,0,8:00,0,0,0,1,0,1,,,,,,,,,,0,0,0
03/01/2011,0,9:00,0,0,0,0,0,0,,,,,,,,,,0,0,0
03/01/2011,0,10:00,0,0,0,1,0,1,,,,,,,,,,0,0,0
03/01/2011,0,11:00,0,0,0,2,0,2,,,,,,,,,,1,0,1
03/01/2011,0,12:00,0,0,0,2,1,1,,,,,,,,,,0,0,0
03/01/2011,0,13:00,0,0,0,0,0,0,,,,,,,,,,1,0,1
03/01/2011,0,14:00,0,0,0,0,0,0,,,,,,,,,,1,0,1
03/01/2011,0,15:00,0,0,0,1,0,1,,,,,,,,,,0,0,0
03/01/2011,0,16:00,0,0,0,5,2,3,,,,,,,,,,0,0,0
03/01/2011,0,17:00,0,0,0,5,3,2,,,,,,,,,,0,0,0
03/01/2011,0,18:00,0,0,0,3,1,2,,,,,,,,,,0,0,0
03/01/2011,0,19:00,0,0,0,0,0,0,,,,,,,,,,0,0,0
03/01/2011,0,20:00,0,0,0,2,1,1,,,,,,,,,,0,0,0
03/01/2011,0,21:00,0,0,0,2,1,1,,,,,,,,,,0,0,0
03/01/2011,0,22:00,0,0,0,1,1,0,,,,,,,,,,0,0,0
03/01/2011,0,23:00,0,0,0,2,0,2,,,,,,,,,,0,0,0
04/01/2011,0,0:00,0,0,0,0,0,0,,,,,,,,,,0,0,0
04/01/2011,0,1:00,0,0,0,0,0,0,,,,,,,,,,0,0,0
04/01/2011,0,2:00,0,0,0,0,0,0,,,,,,,,,,0,0,0
04/01/2011,0,3:00,0,0,0,0,0,0,,,,,,,,,,0,0,0
04/01/2011,0,4:00,0,0,0,0,0,0,,,,,,,,,,0,0,0
04/01/2011,0,5:00,0,0,0,0,0,0,,,,,,,,,,0,0,0
04/01/2011,0,6:00,0,0,0,0,0,0,,,,,,,,,,0,0,0
