Date,,ALEX,ALEX_IN,ALEX_OUT,COBY,COBY_IN,COBY_OUT,CRTZ,CRTZ_IN,CRTZ_OUT,LLYN,LLYN_IN,LLYN_OUT,LMET,LMET_IN,LMET_OUT,ORPY,ORPY_IN,ORPY_OUT,Portage Bridge Totem,Portage_SB,Portage_NB
01/01/2011,00:00,0,0,0,925,421,504,,,,,,,,,,73,33,40,,,
01/02/2011,00:00,0,0,0,765,339,426,,,,,,,,,,18,9,9,,,
01/03/2011,00:00,3542,1872,1670,1615,711,904,,,,,,,,,,169,84,85,,,
01/04/2011,00:00,17632,9638,7994,10882,5061,5821,,,,,,,,,,24008,12275,11733,,,
01/05/2011,00:00,40585,23080,17505,33520,15307,18213,4068,2034,2034,,,,,,,56286,27905,28381,,,
01/06/2011,00:00,54732,34816,19916,47520,21728,25792,51094,26413,24681,,,,,,,76344,37538,38806,,,
01/07/2011,00:00,52413,32995,19418,51112,24523,26589,60370,30492,29878,23947,12224,11723,30908,15561,15347,92742,45982,46760,,,
01/08/2011,00:00,52146,33137,19009,45395,21481,23914,51075,25684,25391,30607,15672,14935,42481,21104,21377,72931,36153,36778,,,
01/09/2011,00:00,46829,29983,16846,38208,17847,20361,41608,21290,20318,30981,15758,15223,45996,22523,23473,59224,29453,29771,,,
01/10/2011,00:00,29031,15677,13354,22623,10593,12030,23256,11783,11473,22011,11080,10931,33341,16305,17036,33376,16663,16713,,,
01/11/2011,00:00,19232,10376,8856,13416,6294,7122,13012,6585,6427,16608,8409,8199,25486,12583,12903,19555,9946,9609,,,
01/12/2011,00:00,6335,3458,2877,4567,2090,2477,3766,1943,1823,5969,3080,2889,9948,5011,4937,4781,2458,2323,,,
01/01/2012,00:00,94,51,43,1414,644,770,1021,480,541,3012,1555,1457,5579,2838,2741,18,9,9,,,
01/02/2012,00:00,484,187,297,1246,571,675,908,432,476,3701,1893,1808,6336,3108,3228,14,9,5,,,
01/03/2012,00:00,11177,6521,4656,10774,5065,5709,11954,5980,5974,11219,5760,5459,17178,8482,8696,13475,6831,6644,,,
01/04/2012,00:00,24018,13061,10957,17915,8284,9631,18583,9438,9145,17952,9108,8844,26154,12894,13260,29868,15070,14798,,,
01/05/2012,00:00,55974,35797,20177,50750,23553,27197,49014,24295,24719,36063,18389,17674,50717,25581,25136,73287,36280,37007,,,
01/06/2012,00:00,54441,34096,20345,49106,22408,26698,48107,24398,23709,38390,19687,18703,54171,27468,26703,71029,35200,35829,,,
01/07/2012,00:00,59635,35985,23650,58388,27783,30605,58788,29145,29643,44682,22818,21864,60708,30163,30545,94606,47045,47561,,,
01/08/2012,00:00,53391,32079,21312,48099,22952,25147,47860,23647,24213,37118,19122,17996,52045,25463,26582,69806,34664,35142,,,
01/09/2012,00:00,46186,29082,17104,37805,17813,19992,35906,17772,18134,31626,16146,15480,45223,22339,22884,53037,26625,26412,,,
